District,Crime Attribute,Crime Measure
Davanagere,Number of Vehicles Two Wheelers (Motor Cycles Scooters) Coordinated,30
Davanagere,Number of Vehicles Four Wheelers (Car / Taxi / Jeep) Stolen,4
Davanagere,Number of Vehicles Four Wheelers (Car / Taxi / Jeep) Recovered,1
Davanagere,Number of Vehicles Four Wheelers (Car / Taxi / Jeep) Coordinated,2
Davanagere,Number of Vehicles Four Wheelers (Bus) Stolen,0
Davanagere,Number of Vehicles Four Wheelers (Bus) Recovered,0
Davanagere,Number of Vehicles Four Wheelers (Bus) Coordinated,0
Davanagere,Four Wheelers  (Goods Carring) Vehicles Stolen,0
Davanagere,Four Wheelers  (Goods Carring) Vehicles Recovered,0
Davanagere,Four Wheelers  (Goods Carring) Vehicles Coordinated,0
Davanagere,Other Motor Vehicle Stolen,4
Davanagere,Other Motor Vehicle Recovered,0
Davanagere,Other Motor Vehicle Coordinated,0
Davanagere,Total Motor Vehicle Recovered,32
Davanagere,Total Motor Vehicle Coordinated,32
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Residential Premises (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Residential Premises (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Highways (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Highways (Value),9894
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence River & Sea (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence River & Sea (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Railways (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Railways (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Running Trains (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Running Trains (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Other Railways (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Other Railways (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Banks (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Banks (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Commercial Establishments (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Commercial Establishments (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Other Places (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Other Places (Value),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Total (Number),0
Davanagere,Number of Dacoity Cases Reported and Value of Property Taken Away  Place of Occurrence Total (Value),9894
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Number),7
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Value),420398
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Number),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Value),19206
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Number),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Value),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Number),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Value),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Number),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Value),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Other Railways (Number),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Other Railways (Value),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Number),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Value),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Number),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Value),0
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Other Places (Number),21
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Total (Number),30
Davanagere,Number of Robbery Cases Reported and Value of Property Stolen By Place of Occurrence Total (Value),3906273
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Number),125
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Value),8163977
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Number),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Value),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Number),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Value),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Number),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Value),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Number),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Value),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Number),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Value),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Number),11
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Value),93120
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Other Places (Number),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Other Places (Value),0
Davanagere,Number of Burglary Cases Reported and Value of Property Stolen By Place of Occurrence Total (Value),8257097
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Number),9
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Residential Premises (Value),1325408
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Number),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Highways (Value),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Number),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence River & Sea (Value),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Number),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Railways (Value),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Number),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Running Trains (Value),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Number),1
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Banks (Value),20176
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Number),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Commercial Establishments (Value),0
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Other Places (Number),172
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Total (Number),184
Davanagere,Number of Theft Cases Reported and Value of Property Stolen By Place of Occurrence Total (Value),21170857
Dharwad,Other IPC Crimes (Incidence (I) of Cognizable Crimes (IPC)),723
Dharwad,Other Theft (Incidence (I) of Cognizable Crimes (IPC)),60
Dharwad,Act Cases Committed Against Scs / Sts (Total),28
Dharwad,Act Cases Committed Against Scs / Sts (Percentage),1.9
Dharwad,Dacoity (Incidence (I) of Cognizable Crimes (IPC)),4
Dharwad,Preparation & Assembly For Dacoity (Incidence (I) of Cognizable Crimes (IPC)),1
Dharwad,Counterfeiting (Incidence (I) of Cognizable Crimes (IPC)),0
Dharwad,Arson  (Incidence),0
Dharwad,Total Complaints,1507
Dharwad,Category of Complaints Received Oral,271
Dharwad,Category of Complaints Received Written,1028
Dharwad,Category of Complaints Received Distress Call Over Phone 100,0
Dharwad,Category of Complaints Received Complaints Nitiated Suomoto by Police,207
Dharwad,Total (Number of Case Registered Under),1507
Dharwad,IPC (Number of Case Registered Under),1258
Dharwad,SLL (Number of Case Registered Under),249
Dharwad,Incidence of Total Cog.Crimes (IPC),1507
Dharwad,Percentage Contribution to Karnataka Total (IPC),0
Dharwad,Rank of Criminality (IPC),24
Dharwad,Incidence of Total Cog.Crimes (SLL),249
Dharwad,Percentage Contribution to Karnataka Total (SLL),1.4
Dharwad,Rank of Criminality (SLL),13
Dharwad,Murder (Incidence),25
Dharwad,Attempt to Commit Murder (Incidence),23
Dharwad,C.H. Not Amounting to Murder  (Incidence),0
Dharwad,Kidnapping & Abduction Total (Incidence),6
Dharwad,Kidnapping & Abduction of Others (Incidence),1
Dharwad,Dacoity (Incidence),0
Dharwad,Preparation & Assembly For Dacoity (Incidence),1
Dharwad,Burglary  (Incidence),35
Dharwad,Theft Total (Incidence),70
Dharwad,Auto Theft (Incidence),10
Dharwad,Other Theft (Incidence),60
Dharwad,Criminal Breach of Trust (Incidence),6
Dharwad,Cheating (Incidence),30
Dharwad,Counterfeiting (Incidence),0
Dharwad,Hurt  (Incidence),167
Dharwad,Death By Negligence (Incidence),0
Dharwad,Other IPC Crimes (Incidence),723
Dharwad,Total Cognizable Crimes Under IPC (Incidence),1258
Dharwad,Arms Act (Incidence),0
Dharwad,Narcotic Drugs and Psychotropic Substances Act (Incidence),0
Dharwad,Gambling Cases (Incidence),125
Dharwad,Excise Act (Incidence),77
Dharwad,Prohibition Act (Incidence),0
Dharwad,Explosives and Explosive Substances Act (Incidence),0
Dharwad,Immoral Traffic (Prevention) Act (Incidence),0
Dharwad,Indian Railways Act (Incidence),0
Dharwad,Registration of Foreigners Act (Incidence),0
Dharwad,Protection of Civil Rights Act (Incidence),0
Dharwad,Indian Passport Act (Incidence),0
Dharwad,Essential Commodities Act (Incidence),2
Dharwad,Terrorist & Disruptive Activities Act (Incidence),0
Dharwad,Antiquity & Art Treasure Act (Incidence),0
Dharwad,Dowry Prohibition Act (Incidence),8
Dharwad,Child Marriage Restraint Act (Incidence),0
Dharwad,Indecent Representation of Women (P) Act (Incidence),0
Dharwad,Copyright Act (Incidence),0
Dharwad,Sati Prevention Act (Incidence),0
Dharwad,Forest Act (Incidence),0
Dharwad,Other SLL Crimes (Incidence),4
Dharwad,Total Cognizable Crimes Under SLL (Incidence),249
Dharwad,Number of Cases Reported Under C.H. Not Amounting to Murder,0
Dharwad,Number of Cases Reported Under Dacoity,0
Dharwad,Number of Cases Reported Under Preparation and Assembly For Dacoity,1
Dharwad,Number of Cases Reported Under Robbery,5
Dharwad,Number of Cases Reported Under Riots,116
Dharwad,Number of Cases Reported Under Arson,0
Dharwad,Number of Cases Reported Under Total Violent Crimes,181
Dharwad,Number of Cases Reported Under Percentage Share to All Karnataka Crimes,1.1
Dharwad,Number of Cases Reported Under Percentage to Total Cognizable Crimes Under IPC,0.1
Dharwad,Number of Cases Reported Under Gain Murder (C.H.),0
Dharwad,Number of Cases Reported Under Gain CHNA (C.H.),0
Dharwad,Number of Cases Reported Under Property Dispute Murder (C.H.),2
Dharwad,Number of Cases Reported Under Property Dispute CHNA (C.H.),0
Dharwad,Number of Cases Reported Under Personal Vendetta Or Enmity Murder (C.H.),0
Dharwad,Number of Cases Reported Under Personal Vendetta Or Enmity CHNA (C.H.),0
Dharwad,Number of Cases Reported Under Love Affairs / Sexual Causes Murder (C.H.),2
Dharwad,Number of Cases Reported Under Love Affairs / Sexual Causes CHNA (C.H.),0
Dharwad,Number of Cases Reported Under Dowry Murder (C.H.),0
Dharwad,Number of Cases Reported Under Dowry CHNA (C.H.),0
Dharwad,Number of Cases Reported Lunacy Murder (C.H.),0
Dharwad,Number of Cases Reported Lunacy Murder CHNA (C.H),0
Dharwad,Number of Cases Reported Witchcraft Murder (C.H.),0
Dharwad,Number of Cases Reported Witchcraft CHNA (C.H.),0
Dharwad,Number of Cases Reported For Political Reasons Murder (C.H.),0
Dharwad,Number of Cases Reported For Political Reasons CHNA (C.H.),0
Dharwad,Number of Cases Reported  By Terrorist /Extremists Murder (C.H.),0
Dharwad,Number of Cases Reported  By Terrorist /Extremists CHNA (C.H.),0
Dharwad,Number of Cases Reported Communalism Murder (C.H.),0
Dharwad,Number of Cases Reported Communalism CHNA  (C.H.),0
Dharwad,Casteism Murder (C.H.),0
Dharwad,Casteism CHNA (C.H.),0
Dharwad,Number of Cases Reported Under Class Conflict Murder (C.H.),0
Dharwad,Number of Cases Reported Under Class Conflict CHNA (C.H.),0
Dharwad,Number of Cases Reported Under Other Motives Murder (C.H.),19
Dharwad,Number of Cases Reported Under Other Motives CHNA (C.H.),0
Dharwad,Number of Cases Reported Under Total CHNA (C.H.),0
Dharwad,Number of Victims Upto 10 Years (Males),0
Dharwad,Number of Victims Upto 10 Years (Females),0
Dharwad,Number of Victims Upto 10 Years (Total),0
Dharwad,Number of Victims 11 - 15 Years (Males),0
Dharwad,Number of Victims 11 - 15 Years (Females),0
Dharwad,Number of Victims 11 - 15 Years (Total),0
Dharwad,Number of Victims 16 - 18 Years (Males),0
Dharwad,Number of Victims 16 - 18 Years (Females),0
Dharwad,Number of Victims 16 - 18 Years (Total),0
Dharwad,Number of Victims 19 - 30 Years (Males),2
Dharwad,Number of Victims 19 - 30 Years (Females),7
Dharwad,Number of Victims 19 - 30 Years (Total),10
Dharwad,Number of Victims 31 - 50 Years (Males),6
Dharwad,Number of Victims 31 - 50 Years(Females),4
Dharwad,Number of Victims 31 - 50 Years (Total),11
Dharwad,Number of Victims 31 - 50 Years (Males),0
Dharwad,Number of Victims 31 - 50 Years (Total),0
Dharwad,Number of Victims Above 50 Years (Males),2
Dharwad,Number of Victims Above 50 Years (Females),0
Dharwad,Number of Victims Above 50 Years (Total),3
Dharwad,Number of Victims Above 50 Years (Females),0
Dharwad,Number of Victims Above 50 Years (Total),0
Dharwad,Number of Victims CH Not Amounting to Murder Upto 10 Years (Males),0
Dharwad,Number of Victims CH Not Amounting to Murder Upto 10 Years (Females),0
Dharwad,Number of Victims CH Not Amounting to Murder Upto 10 Years (Total),0
Dharwad,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Males),0
Dharwad,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Females),0
Dharwad,Number of Victims CH Not Amounting to Murder 11 - 15 Years (Total),0
Dharwad,Number of Victims CH Not Amounting to Murder 16 - 18 Years (Males),0
Dharwad,Number of Victims CH Not Amounting to Murder 16 - 18 Years (Total),0
Dharwad,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Males),0
Dharwad,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Females),0
Dharwad,Number of Victims CH Not Amounting to Murder 19 - 30 Years (Total),0
Dharwad,Number of Victims 31 - 50 Years (Females),0
Dharwad,Number of Victims Above 50 Years(Males),0
Dharwad,Number of Victims Total of All Age Groups (Males),13
Dharwad,Number of Victims Total of All Age Groups (Females),11
Dharwad,Number of Victims Total of All Age Groups (Total),25
Dharwad,Number of Victims Total of All Age Groups (Males),0
Dharwad,Number of Victims Total of All Age Groups (Females),0
Dharwad,Number of Victims Total of All Age Groups (Total),0
Dharwad,Unidentified Bodies Recovered and Inquest Conducted,10
Dharwad,Total Number of Cases Reported (Age Group and Gender Wise Victims),6
Dharwad,Sex Wise / Group Wise Upto 10 Years (Males),0
Dharwad,Sex Wise / Group Wise Upto 10 Years (Females),0
Dharwad,Sex Wise / Group Wise 11 - 15 Years (Males),0
Dharwad,Sex Wise / Group Wise 11 - 15 Years (Females),0
Dharwad,Sex Wise / Group Wise 16 - 18 Years (Males),0
Dharwad,Sex Wise / Group Wise 16 - 18 Years (Females),4
Dharwad,Sex Wise / Group Wise 19 - 30 Years (Males),0
Dharwad,Sex Wise / Group Wise 19 - 30 Years (Females),0
Dharwad,Sex Wise / Group Wise 31 - 50 Years (Males),0
Dharwad,Sex Wise / Group Wise 31 - 50 Years (Females),0
Dharwad,Sex Wise / Group Wise Above 50 Years (Males),0
Dharwad,Sex Wise / Group Wise Above 50 Years (Females),0
Dharwad,Sex Wise / Group Wise Total (Males),1
Dharwad,Sex Wise / Group Wise Total (Females),4
Dharwad,Age Group and Gender Wise Victims of Total Kidnapping & Abduction (Grand Total),6
Dharwad,Total Number of Cases For Investigation Including Pending Cases,1929
Dharwad,Number of Cases In Which Investigation Was Refused,0
Dharwad,Number of Cases In Which Investigation Was Completed,99
Dharwad,Number of Cases In Which Investigation Was Completed Charge Found False / Mistake of Fact Or Law Etc.,106
Dharwad,Number of Cases In Which Investigation Was Completed Final Report True Submitted,1393
Dharwad,Number of Cases In Which Investigation Was Completed Charge Sheets Were Submitted,1600
Dharwad,Number of Cases Pending Investigation,328
Dharwad,Pendency Percentage,16.5
Dharwad,Percentage of Pendency to All Karnataka Total,0.5
Dharwad,Total Number of Cases For Investigation Including Pending Cases (SLL),316
Dharwad,Number of Cases In Which Investigation Was Refused (SLL),0
Dharwad,Number of Cases In Which Investigation Was Completed (SLL),279
Dharwad,Number of Cases In Which Investigation Was Completed Charge Found False / Mistake of Fact Or Law Etc. (SLL),2
Dharwad,Number of Cases In Which Investigation Was Completed Final Report True Submitted (SLL),0
Dharwad,Number of Cases In Which Investigation Was Completed Charge Sheets Were Submitted (SLL),275
Dharwad,Number of Cases Pending Investigation (SLL),36
Dharwad,Pendency Percentage (SLL),11.3
Dharwad,Disposal of Cases Under Murder (Confession),0
Dharwad,Disposal of Cases Under Murder (Trial),19
Dharwad,Disposal of Cases Under Murder (Total),19
Dharwad,Disposal of Cases  Attempt to Commit Murder (Confession),0
Dharwad,Disposal of Cases  Attempt to Commit Murder (Trial),17
Dharwad,Disposal of Cases  Attempt to Commit Murder (Total),17
Dharwad,Disposal of Cases C.H. Not Amounting to Murder (Confession),0
Dharwad,Disposal of Cases  C.H. Not Amounting to Murder (Trial),0
Dharwad,Disposal of Cases C.H. Not Amounting to Murder (Total),0
Dharwad,Disposal of Cases Under Rape (Confession),0
Dharwad,Disposal of Cases Under Rape (Trial),6
Dharwad,Disposal of Cases Under Rape (Total),6
Dharwad,Disposal of Cases Under Kidnapping & Abduction (Confession),0
Dharwad,Disposal of Cases Under Kidnapping & Abduction(Trial),10
Dharwad,Disposal of Cases Under Kidnapping & Abduction(Total),10
Dharwad,Disposal of Cases Under Women & Girls (Confession),0
Dharwad,Disposal of Cases Under Women & Girls (Trial),7
Dharwad,Disposal of Cases Under Women & Girls (Total),7
Dharwad,Disposal of Cases Under Others (Confession),0
Dharwad,Disposal of Cases Under Others (Trial),2
Dharwad,Disposal of Cases Under Others (Total),2
Dharwad,Disposal of Cases Under Dacoity (Confession),0
Dharwad,Disposal of Cases Under Dacoity (Trial),0
Dharwad,Disposal of Cases Under Dacoity (Total),0
Dharwad,Disposal of Cases Under Preparation & Assembly For Dacoity (Confession),0
Dharwad,Disposal of Cases Under Preparation & Assembly For Dacoity (Trial),0
Dharwad,Disposal of Cases Under Preparation & Assembly For Dacoity (Total),0
Dharwad,Disposal of Cases Robbery (Confession),0
Dharwad,Disposal of Cases Robbery (Trial),2
Dharwad,Disposal of Cases Robbery (Total),2
Dharwad,Disposal of Cases  Riot (Confession),0
Dharwad,Disposal of Cases Riot (Trial),43
Dharwad,Disposal of Cases Riot (Total),43
Dharwad,Disposal of Cases Arson (Confession),0
Dharwad,Disposal of Cases Arson (Trial),0
Dharwad,Disposal of Cases  Arson (Total),0
Dharwad,Disposal of Cases Dowry Death (Confession),0
Dharwad,Disposal of Cases Dowry Death (Trial),1
Dharwad,Disposal of Cases Dowry Death (Total),1
Dharwad,Disposal of Cases Total (Confession),0
Dharwad,Disposal of Cases Total (Trial),103
Dharwad,Disposal of Cases Total  (Total),103
Dharwad,Total Number of Cases For Trail Including Pending Cases,3554
Dharwad,Number of Cases Withdrawn By Govt.,0
Dharwad,Number of Cases Compounded Or With Drawn,23
Dharwad,Number of Cases In Which Trials Were Completed Convicted,333
Dharwad,Number of Cases In Which Trials Were Completed Acquitted Or Discharged,361
Dharwad,Number of Cases In Which Trials Were Completed Total,695
Dharwad,Number of Cases Pending Trial (Disposal of IPC Cases By Courts),2835
Dharwad,Pendency Percentage (Disposal of IPC Cases By Courts),77.4
Dharwad,Conviction of IPC Cases Under Various Crime Heads Murder,3
Dharwad,Conviction of IPC Cases Under Various Crime Heads Attempt to Commit Murder,1
Dharwad,Conviction of IPC Cases Under Various Crime Heads C.H. Not Amounting to Murder,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Rape,1
Dharwad,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction Total,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction of Women Or Girls,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Kidnapping & Abduction of Others,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Dacoity,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Preparation & Assembly For Dacoity,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Robbery,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Burglary,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Theft Total,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Theft Auto,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Theft Others,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Riots,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Criminal Breach of Trust,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Cheating,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Counterfeiting,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Arson,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Hurt,1
Dharwad,Conviction of IPC Cases Under Various Crime Heads Dowry Deaths,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Molestation,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Sexual Harassment,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Cruelty By Husband & Relatives,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Death By Negligence,0
Dharwad,Conviction of IPC Cases Under Various Crime Heads Other IPC Cases,321
Dharwad,Conviction of IPC Cases Under Various Crime Heads Total Cognizable Cases Under IPC,333
Dharwad,Total Number of Cases For Trail Including Pending Cases (Disposal of SLL Crime Cases By Court),680
Dharwad,Cases With Drawn By Govt. ((Disposal of SLL Crime Cases By Court),0
Dharwad,Number of Cases Compounded Or With Drawn (Disposal of SLL Crime Cases By Court),0
Dharwad,Number of Cases In Which Trials Were Completed Convicted (Disposal of SLL Crime Cases By Court),49
Dharwad,Number of Cases In Which Trials Were Completed Acquitted Or Discharged (Disposal of SLL Crime Cases By Court),64
Dharwad,Number of Cases In Which Trials Were Completed (Total) (Disposal of SLL Crime Cases By Court),114
Dharwad,Disposal of SLL Crime Cases By Court (Pending Trial),566
Dharwad,Disposal of SLL Crime Cases By Court (Pending Percentage),80.7
Dharwad,Percentage of Pendency to All Karnataka Total (Disposal of SLL Crime Cases By Court),1.5
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Arms Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Ndps Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Gambling Act),49
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Excise Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Prohibition Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Exp. & Exp.Sub. Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (I.T.P. Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Indian Railways Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Registration of Foreigners Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (P.C.R. Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Indian Passport Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Essential Commodities Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Tada Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Antiquity & Art Treasure Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Dowry Prohibition Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Indecent Rep. of Womenn Proh. Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Copyright Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Sati Prevention Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Sc/St (P) of Atrocities Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Forest Act),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Other SLL Crimes),0
Dharwad,Conviction of SLL Crime Cases Under Various Acts (Total Cognizable Crimes Under SLL),49
Dharwad,District Session Judge Duration of Trial Less Then 6 Months,0
Dharwad,District Session Judge Duration of Trial 6-12 Months,0
Dharwad,District Session Judge Duration of Trial 1-3 Years,33
Dharwad,District Session Judge Duration of Trial 3-5 Years,11
Dharwad,District Session Judge Duration of Trial 5-10 Years,0
Dharwad,District Session Judge Duration of Trial Over 10 Years,0
Dharwad,District Session Judge Duration of Trial (Total),45
Dharwad,Additional Session Judge Duration of Trial Less Then 6 Months,0
Dharwad,Additional Session Judge Duration of Trial 6-12 Months,0
Dharwad,Additional Session Judge Duration of Trial 1-3 Years,0
Dharwad,Additional Session Judge Duration of Trial 3-5 Years,0
Dharwad,Additional Session Judge Duration of Trial 5-10 Years,0
Dharwad,Additional Session Judge Duration of Trial Over 10 Years,0
Dharwad,Additional Session Judge Duration of Trial (Total),0
Dharwad,Other Courts Duration of Trial Less Then 6 Months,0
Dharwad,Other Courts Duration of Trial 6-12 Months,0
Dharwad,Other Courts Duration of Trial 1-3 Years,0
Dharwad,Other Courts Duration of Trial 3-5 Years,0
Dharwad,Other Courts Duration of Trial 5-10 Years,0
Dharwad,Other Courts Duration of Trial Over 10 Years,0
Dharwad,Other Courts (Total),0
Dharwad,Other Courts (Concluded) Duration of Trial Less Then 6 Months,329
Dharwad,Other Courts (Concluded) Duration of Trial 6-12 Months,247
Dharwad,Other Courts (Concluded) Duration of Trial 1-3 Years,106
Dharwad,Other Courts (Concluded) Duration of Trial 3-5 Years,11
Dharwad,Other Courts (Concluded) Duration of Trial 5-10 Years,0
Dharwad,Other Courts (Concluded) Duration of Trial Over 10 Years,0
Dharwad,Other Courts (Concluded) Total,695
Dharwad,Total Crimes Committed Against Women (Incidence),57
Dharwad,Total Crimes Committed Against Women (Estimated Mid Year Population (In Lakhs)),8.8
Dharwad,Total Crimes Committed Against Women (Rank of Population),30
Dharwad,Total Crimes Committed Against Women (Rank of Crimes),32
Dharwad,Incidence of Crimes Committed Against Women Rape (Incidence),0
Dharwad,Incidence of Crimes Committed Against Women Rape (Percentage),0
