District,Attribute,Measure
Udupi,Anaemia among adolescent girls - Total 10-19 yr Moderate,58
Udupi,Anaemia among adolescent girls - Total 10-19 yr Severe,7.1
Udupi,Anaemia among children - Mild Under 6 yr,78.2
Udupi,Anaemia among children - Moderate Under 6 yr,18.3
Udupi,Anaemia among children - Severe Under 6 yr,0
Udupi,Anaemia among pregnant women - Female 15-44 yr Mild,85.7
Udupi,Anaemia among pregnant women - Female 15-44 yr Moderate,14.3
Udupi,Anaemia among pregnant women - Female 15-44 yr Severe,0
Udupi,Prevalence of underweight (moderate and severe) - Under 6 yr,35.1
Udupi,Prevalence of underweight (severe) - Under 6 yr,9.7
Udupi,Children who received vitamin A supplements - Total 9-35 mo,83.8
Udupi,Use of iodised salt - Adequately Iodised,35.1
Udupi,Children aged 21 months and above who received three doses of Vitamin A - Total,13
Udupi,Marriage below legal age at marriage - Female,2.4
Udupi,Marriage below legal age at marriage - Male,3.2
Udupi,Currently married women aged 15-44 yrs aware of RTI/STI - Total,30.9
Udupi,Prevalence of RTI/STI - Female,5.6
Udupi,Ever married women aged 15-49 years who have heard of RTI/STI - Total,43
Udupi,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,45.7
Udupi,Antenatal care (all components) - Total,49.5
Udupi,Contraceptive prevalence rate by method - Total 15-49 yr Any method,58.2
Udupi,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,55.6
Udupi,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,4.6
Udupi,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,2.1
Udupi,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,50.3
Udupi,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,1.5
Udupi,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0
Udupi,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,1.6
Udupi,Percentage distribution of live births by order of birth - 3rd & above,26.3
Udupi,Percentage of deliveries assisted by a skilled health professional - Total,0.6
Udupi,Percentage of women who had antenatal check up - Antenatal check up at home,0
Udupi,Percentage of women who had antenatal check up - Any antenatal check up,99.6
Udupi,Percentage of women who had antenatal check up - No antenatal check up,0.4
Udupi,Percentage of women who had antenatal check up - Three or more antenatal check ups,96.4
Udupi,Currently married women who had childbirth at home - Total,5.9
Udupi,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,13.8
Udupi,Pregnant women who had two or more TT injections - Total,92.5
Udupi,Pregnant women who received adequate IFA tablets/syrup - Total,49.9
Udupi,Unmet need for family planning - For limiting,12.7
Udupi,Unmet need for family planning - For spacing,6
Udupi,Unmet need for family planning - Total,18.7
Udupi,Women who had institutional delivery - Total,95.3
Udupi,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,62.2
Udupi,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,88.3
Udupi,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,99.7
Udupi,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,63.7
Udupi,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,91.8
Udupi,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,96.6
Udupi,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,92.2
Udupi,Percentage of births to women aged 15-19 years - Total,2
Udupi,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,35.3
Udupi,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Udupi,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0
Udupi,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0
Uttara Kannada,Type of houses occupied - Pucca,18.9
Uttara Kannada,Living in own house - Total,94.3
Uttara Kannada,Mean age at marriage - Female,22.2
Uttara Kannada,Mean age at marriage - Male,27.5
Uttara Kannada,Population size - Female,709423
Uttara Kannada,Population size - Female 0-6 yr,71232
Uttara Kannada,Population size - Male,727424
Uttara Kannada,Population size - Male 0-6 yr,75225
Uttara Kannada,Population size - Rural,1018216
Uttara Kannada,Population size - Rural 0-6 yr,104416
Uttara Kannada,Population size - Rural Female,502349
Uttara Kannada,Population size - Rural Female 0-6 yr,50823
Uttara Kannada,Population size - Rural Male,515867
Uttara Kannada,Population size - Rural Male 0-6 yr,53593
Uttara Kannada,Population size - Total,1436847
Uttara Kannada,Population size - Total 0-6 yr,146457
Uttara Kannada,Population size - Urban,418631
Uttara Kannada,Population size - Urban 0-6 yr,42041
Uttara Kannada,Population size - Urban Female,207074
Uttara Kannada,Population size - Urban Female 0-6 yr,20409
Uttara Kannada,Population size - Urban Male,211557
Uttara Kannada,Population size - Urban Male 0-6 yr,21632
Uttara Kannada,Population density - Total,140
Uttara Kannada,Sex ratio - Rural,974
Uttara Kannada,Sex ratio - Total,975
Uttara Kannada,Sex ratio - Urban,979
Uttara Kannada,Sex ratio (0-6 years) - Rural,948
Uttara Kannada,Sex ratio (0-6 years) - Total,947
Uttara Kannada,Sex ratio (0-6 years) - Urban,943
Uttara Kannada,Percentage of households who own any agricultural land - Total,46.6
Uttara Kannada,Percentage distribution of population by wealth quintiles - Highest,21.9
Uttara Kannada,Percentage distribution of population by wealth quintiles - Lowest,8.5
Uttara Kannada,Percentage of households holding below poverty line (BPL) ration cards - Total,57
Uttara Kannada,Children aged 6-11 years attending school - Female,98.6
Uttara Kannada,Children aged 6-11 years attending school - Male,99.3
Uttara Kannada,Literacy rate (age 7+) - Female,78.21
Uttara Kannada,Literacy rate (age 7+) - Male,89.72
Uttara Kannada,Literacy rate (age 7+) - Rural,81.22
Uttara Kannada,Literacy rate (age 7+) - Rural Female,74.62
Uttara Kannada,Literacy rate (age 7+) - Rural Male,87.68
Uttara Kannada,Literacy rate (age 7+) - Total,84.03
Uttara Kannada,Literacy rate (age 7+) - Urban,90.83
Uttara Kannada,Literacy rate (age 7+) - Urban Female,86.91
Uttara Kannada,Literacy rate (age 7+) - Urban Male,94.68
Uttara Kannada,Number of literates aged 7 years and above - Female,499150
Uttara Kannada,Number of literates aged 7 years and above - Male,585127
Uttara Kannada,Number of literates aged 7 years and above - Rural,742234
Uttara Kannada,Number of literates aged 7 years and above - Rural Female,336920
Uttara Kannada,Number of literates aged 7 years and above - Rural Male,405314
Uttara Kannada,Number of literates aged 7 years and above - Total,1084277
Uttara Kannada,Number of literates aged 7 years and above - Urban,342043
Uttara Kannada,Number of literates aged 7 years and above - Urban Female,162230
Uttara Kannada,Number of literates aged 7 years and above - Urban Male,179813
Uttara Kannada,Households with electricity - Total,89.2
Uttara Kannada,Households using LPG for cooking - Total,21.3
Uttara Kannada,Households with toilet facility - Total,52
Uttara Kannada,Households with improved source of drinking water - Total,49.8
Uttara Kannada,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,83.3
Uttara Kannada,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,56.5
Uttara Kannada,Children aged under 3 yrs with diarrhoea treated with ORS - Total,25
Uttara Kannada,Women whose child under 3 yrs suffered from diarrhoea - Total,16.3
Uttara Kannada,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,77.3
Uttara Kannada,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,47.5
Uttara Kannada,Women whose child under 3 yrs suffered from pneumonia - Total,26.4
Uttara Kannada,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,76.7
Uttara Kannada,Women with children under 3 yrs aware of diarrhoea - Total,52.4
Uttara Kannada,Women with children under 3 yrs aware of pneumonia - Total,35.7
Uttara Kannada,Women with children under 3 yrs having knowledge of ORS - Total,38.5
Uttara Kannada,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,83.6
Uttara Kannada,Percentage of villages with health sub-centre within 3 km - Total,80.5
Uttara Kannada,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,16.7
Uttara Kannada,BCG immunization - Total 12-23 mo,100
Uttara Kannada,BCG immunization - Total 12-35 mo,98
Uttara Kannada,Complete immunization - Total 12-23 mo,80.9
Uttara Kannada,Complete immunization - Total 12-35 mo,90.7
Uttara Kannada,DPT3 immunization - Total 12-23 mo,83.2
Uttara Kannada,DPT3 immunization - Total 12-35 mo,93.5
Uttara Kannada,Measles immunization - Total 12-23 mo,96.4
Uttara Kannada,Measles immunization - Total 12-35 mo,96.9
Uttara Kannada,No immunization - Total 12-23 mo,0
Uttara Kannada,No immunization - Total 12-35 mo,0.4
Uttara Kannada,OPV3 immunization - Total 12-23 mo,86.9
Uttara Kannada,OPV3 immunization - Total 12-35 mo,93.1
Uttara Kannada,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,26.6
Uttara Kannada,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,89.4
Uttara Kannada,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,21.9
Uttara Kannada,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,10
Uttara Kannada,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,92.5
Uttara Kannada,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,26.3
Uttara Kannada,Proportion of households having television - Total,50.6
Uttara Kannada,Percentage of households who own a mobile phone - Total,27.1
Uttara Kannada,Percentage of households who own a motorized vehicle - Total,24
Uttara Kannada,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,56.6
Uttara Kannada,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,44.5
Uttara Kannada,Exclusive breastfeeding rate - Atleast 4 months,53.7
Uttara Kannada,Exclusive breastfeeding rate - Atleast 6 months,35.8
Uttara Kannada,Timely complementary feeding rate - Total 6-24 mo,63.8
Uttara Kannada,Anaemia among adolescent girls - Total 10-19 yr Mild,54.1
Uttara Kannada,Anaemia among adolescent girls - Total 10-19 yr Moderate,30.6
Uttara Kannada,Anaemia among adolescent girls - Total 10-19 yr Severe,13.3
Uttara Kannada,Anaemia among children - Mild Under 6 yr,83.5
Uttara Kannada,Anaemia among children - Moderate Under 6 yr,13
Uttara Kannada,Anaemia among children - Severe Under 6 yr,0
Uttara Kannada,Anaemia among pregnant women - Female 15-44 yr Mild,84.6
Uttara Kannada,Anaemia among pregnant women - Female 15-44 yr Moderate,7.7
Uttara Kannada,Anaemia among pregnant women - Female 15-44 yr Severe,0
Uttara Kannada,Prevalence of underweight (moderate and severe) - Under 6 yr,35.3
Uttara Kannada,Prevalence of underweight (severe) - Under 6 yr,9.5
Uttara Kannada,Children who received vitamin A supplements - Total 9-35 mo,83.8
Uttara Kannada,Use of iodised salt - Adequately Iodised,28.6
Uttara Kannada,Children aged 21 months and above who received three doses of Vitamin A - Total,23.5
Uttara Kannada,Marriage below legal age at marriage - Female,1.5
Uttara Kannada,Marriage below legal age at marriage - Male,3
Uttara Kannada,Currently married women aged 15-44 yrs aware of RTI/STI - Total,49.9
Uttara Kannada,Prevalence of RTI/STI - Female,24.9
Uttara Kannada,Ever married women aged 15-49 years who have heard of RTI/STI - Total,45
Uttara Kannada,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,46.9
Uttara Kannada,Antenatal care (all components) - Total,35.3
Uttara Kannada,Contraceptive prevalence rate by method - Total 15-49 yr Any method,63.7
Uttara Kannada,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,59.9
Uttara Kannada,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,2.5
Uttara Kannada,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,2.3
Uttara Kannada,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,54.1
Uttara Kannada,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,1.6
Uttara Kannada,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0.1
Uttara Kannada,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.9
Uttara Kannada,Percentage distribution of live births by order of birth - 3rd & above,27.7
Uttara Kannada,Percentage of deliveries assisted by a skilled health professional - Total,2.4
Uttara Kannada,Percentage of women who had antenatal check up - Antenatal check up at home,0.7
Uttara Kannada,Percentage of women who had antenatal check up - Any antenatal check up,98.8
Uttara Kannada,Percentage of women who had antenatal check up - No antenatal check up,1.2
Uttara Kannada,Percentage of women who had antenatal check up - Three or more antenatal check ups,91
Uttara Kannada,Currently married women who had childbirth at home - Total,25.4
Uttara Kannada,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,36
Uttara Kannada,Pregnant women who had two or more TT injections - Total,71.8
Uttara Kannada,Pregnant women who received adequate IFA tablets/syrup - Total,43
Uttara Kannada,Unmet need for family planning - For limiting,12
Uttara Kannada,Unmet need for family planning - For spacing,4.9
Uttara Kannada,Unmet need for family planning - Total,16.9
Uttara Kannada,Women who had institutional delivery - Total,82.6
Uttara Kannada,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,6.5
Uttara Kannada,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,80.7
Uttara Kannada,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,98.5
Uttara Kannada,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,11.1
Uttara Kannada,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,81.8
Uttara Kannada,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,94.2
Uttara Kannada,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,79.3
Uttara Kannada,Percentage of births to women aged 15-19 years - Total,2.6
Uttara Kannada,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,68
Uttara Kannada,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Uttara Kannada,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0
Uttara Kannada,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0
Yadgiri,Population size - Female,581881
Yadgiri,Population size - Female 0-6 yr,90107
Yadgiri,Population size - Male,591104
Yadgiri,Population size - Male 0-6 yr,95620
Yadgiri,Population size - Rural,952482
Yadgiri,Population size - Rural 0-6 yr,154396
Yadgiri,Population size - Rural Female,472648
Yadgiri,Population size - Rural Female 0-6 yr,74959
Yadgiri,Population size - Rural Male,479834
Yadgiri,Population size - Rural Male 0-6 yr,79437
Yadgiri,Population size - Total,1172985
Yadgiri,Population size - Total 0-6 yr,185727
Yadgiri,Population size - Urban,220503
Yadgiri,Population size - Urban 0-6 yr,31331
Yadgiri,Population size - Urban Female,109233
Yadgiri,Population size - Urban Female 0-6 yr,15148
Yadgiri,Population size - Urban Male,111270
Yadgiri,Population size - Urban Male 0-6 yr,16183
Yadgiri,Population density - Total,224
Yadgiri,Sex ratio - Rural,985
Yadgiri,Sex ratio - Total,984
Yadgiri,Sex ratio - Urban,982
Yadgiri,Sex ratio (0-6 years) - Rural,944
Yadgiri,Sex ratio (0-6 years) - Total,942
Yadgiri,Sex ratio (0-6 years) - Urban,936
Yadgiri,Literacy rate (age 7+) - Female,41.31
Yadgiri,Literacy rate (age 7+) - Male,63.33
Yadgiri,Literacy rate (age 7+) - Rural,47.47
Yadgiri,Literacy rate (age 7+) - Rural Female,35.86
Yadgiri,Literacy rate (age 7+) - Rural Male,59.01
Yadgiri,Literacy rate (age 7+) - Total,52.36
Yadgiri,Literacy rate (age 7+) - Urban,72.98
Yadgiri,Literacy rate (age 7+) - Urban Female,64.36
Yadgiri,Literacy rate (age 7+) - Urban Male,81.51
Yadgiri,Number of literates aged 7 years and above - Female,203143
Yadgiri,Number of literates aged 7 years and above - Male,313797
Yadgiri,Number of literates aged 7 years and above - Rural,378881
Yadgiri,Number of literates aged 7 years and above - Rural Female,142594
Yadgiri,Number of literates aged 7 years and above - Rural Male,236287
Yadgiri,Number of literates aged 7 years and above - Total,516940
Yadgiri,Number of literates aged 7 years and above - Urban,138059
Yadgiri,Number of literates aged 7 years and above - Urban Female,60549
Yadgiri,Number of literates aged 7 years and above - Urban Male,77510
Uttara Kannada,All Religions - Total,1564524
Uttara Kannada,All Religions - Rural,1116179
Uttara Kannada,All Religions - Urban,448345
Uttara Kannada,All Religions - Male,793882
Uttara Kannada,All Religions - Rural Male,566229
Uttara Kannada,All Religions - Urban Male,227653
Uttara Kannada,All Religions - Female,770642
Uttara Kannada,All Religions - Rural Female,549950
Uttara Kannada,All Religions - Urban Female,220692
Uttara Kannada,Buddhists - Total,12318
Uttara Kannada,Buddhists - Rural,12287
Uttara Kannada,Buddhists - Urban,31
Uttara Kannada,Buddhists - Male,8962
Uttara Kannada,Buddhists - Rural Male,8940
Uttara Kannada,Buddhists - Urban Male,22
Uttara Kannada,Buddhists - Female,3356
Uttara Kannada,Buddhists - Rural Female,3347
Uttara Kannada,Buddhists - Urban Female,9
Uttara Kannada,Christians - Total,51903
Uttara Kannada,Christians - Rural,30735
Uttara Kannada,Christians - Urban,21168
Uttara Kannada,Christians - Male,25982
Uttara Kannada,Christians - Rural Male,15485
Uttara Kannada,Christians - Urban Male,10497
Uttara Kannada,Christians - Female,25921
Uttara Kannada,Christians - Rural Female,15249
Uttara Kannada,Christians - Urban Female,10671
Uttara Kannada,Hindus - Total,1308356
Uttara Kannada,Hindus - Rural,987064
Uttara Kannada,Hindus - Urban,321293
Uttara Kannada,Hindus - Male,662599
Uttara Kannada,Hindus - Rural Male,498807
Uttara Kannada,Hindus - Urban Male,163791
Uttara Kannada,Hindus - Female,645758
Uttara Kannada,Hindus - Rural Female,488256
Uttara Kannada,Hindus - Urban Female,157501
Uttara Kannada,Jains - Total,4127
Uttara Kannada,Jains - Rural,3227
Uttara Kannada,Jains - Urban,900
Uttara Kannada,Jains - Male,2171
Uttara Kannada,Jains - Rural Male,1716
Uttara Kannada,Jains - Urban Male,454
Uttara Kannada,Jains - Female,1957
Uttara Kannada,Jains - Rural Female,1511
Uttara Kannada,Jains - Urban Female,446
Uttara Kannada,Muslims - Total,186745
Uttara Kannada,Muslims - Rural,82194
Uttara Kannada,Muslims - Urban,104551
Uttara Kannada,Muslims - Male,93555
Uttara Kannada,Muslims - Rural Male,40894
Uttara Kannada,Muslims - Urban Male,52661
Uttara Kannada,Muslims - Female,93190
Uttara Kannada,Muslims - Rural Female,41300
Uttara Kannada,Muslims - Urban Female,51890
Uttara Kannada,Others - Total,477
Uttara Kannada,Others - Rural,329
Uttara Kannada,Others - Urban,148
Uttara Kannada,Others - Male,264
Uttara Kannada,Others - Rural Male,179
Uttara Kannada,Others - Urban Male,84
Uttara Kannada,Others - Female,214
Uttara Kannada,Others - Rural Female,150
Uttara Kannada,Others - Urban Female,64
Uttara Kannada,Religion not stated - Total,337
Uttara Kannada,Religion not stated - Rural,208
Uttara Kannada,Religion not stated - Urban,129
Uttara Kannada,Religion not stated - Male,180
Uttara Kannada,Religion not stated - Rural Male,112
Uttara Kannada,Religion not stated - Urban Male,68
Uttara Kannada,Religion not stated - Female,157
Uttara Kannada,Religion not stated - Rural Female,96
Uttara Kannada,Religion not stated - Urban Female,61
Uttara Kannada,Sikhs - Total,259
Uttara Kannada,Sikhs - Rural,135
Uttara Kannada,Sikhs - Urban,124
Uttara Kannada,Sikhs - Male,170
Uttara Kannada,Sikhs - Rural Male,95
Uttara Kannada,Sikhs - Urban Male,75
Uttara Kannada,Sikhs - Female,89
Uttara Kannada,Sikhs - Rural Female,40
Uttara Kannada,Sikhs - Urban Female,49
Udupi,All Religions - Total,1285516
Udupi,All Religions - Rural,1047016
Udupi,All Religions - Urban,238500
Udupi,All Religions - Male,603588
Udupi,All Religions - Rural Male,486651
Udupi,All Religions - Urban Male,116937
Udupi,All Religions - Female,681928
Udupi,All Religions - Rural Female,560365
Udupi,All Religions - Urban Female,121563
Udupi,Buddhists - Total,134
Udupi,Buddhists - Rural,45
Udupi,Buddhists - Urban,89
Udupi,Buddhists - Male,81
Udupi,Buddhists - Rural Male,21
Udupi,Buddhists - Urban Male,60
Udupi,Buddhists - Female,53
Udupi,Buddhists - Rural Female,24
Udupi,Buddhists - Urban Female,29
Udupi,Christians - Total,75859
Udupi,Christians - Rural,60029
Udupi,Christians - Urban,15830
Udupi,Christians - Male,34928
Udupi,Christians - Rural Male,27809
Udupi,Christians - Urban Male,7118
Udupi,Christians - Female,40931
Udupi,Christians - Rural Female,32220
Udupi,Christians - Urban Female,8711
Udupi,Hindus - Total,1107693
Udupi,Hindus - Rural,910002
Udupi,Hindus - Urban,197692
Udupi,Hindus - Male,518674
Udupi,Hindus - Rural Male,421237
Udupi,Hindus - Urban Male,97437
Udupi,Hindus - Female,589019
Udupi,Hindus - Rural Female,488765
Udupi,Hindus - Urban Female,100254
Udupi,Jains - Total,5270
Udupi,Jains - Rural,4494
Udupi,Jains - Urban,777
Udupi,Jains - Male,2674
Udupi,Jains - Rural Male,2257
Udupi,Jains - Urban Male,417
Udupi,Jains - Female,2596
Udupi,Jains - Rural Female,2236
Udupi,Jains - Urban Female,359
Udupi,Muslims - Total,95998
Udupi,Muslims - Rural,72105
Udupi,Muslims - Urban,23894
Udupi,Muslims - Male,46956
Udupi,Muslims - Rural Male,35179
Udupi,Muslims - Urban Male,11777
Udupi,Muslims - Female,49042
Udupi,Muslims - Rural Female,36926
Udupi,Muslims - Urban Female,12116
Udupi,Others - Total,51
Udupi,Others - Rural,37
Udupi,Others - Urban,14
Udupi,Others - Male,20
Udupi,Others - Rural Male,13
Udupi,Others - Urban Male,7
Udupi,Others - Female,31
Udupi,Others - Rural Female,24
Udupi,Others - Urban Female,7
Udupi,Religion not stated - Total,250
Udupi,Religion not stated - Rural,220
Udupi,Religion not stated - Urban,30
Udupi,Religion not stated - Male,111
Udupi,Religion not stated - Rural Male,91
Udupi,Religion not stated - Urban Male,20
Udupi,Religion not stated - Female,139
Udupi,Religion not stated - Rural Female,128
Udupi,Religion not stated - Urban Female,10
Udupi,Sikhs - Total,260
Udupi,Sikhs - Rural,84
Udupi,Sikhs - Urban,176
Udupi,Sikhs - Male,143
Udupi,Sikhs - Rural Male,44
Udupi,Sikhs - Urban Male,99
Udupi,Sikhs - Female,117
Udupi,Sikhs - Rural Female,40
Udupi,Sikhs - Urban Female,76
Tumkur,All Religions - Total,2987375
Tumkur,All Religions - Rural,2401157
Tumkur,All Religions - Urban,586217
Tumkur,All Religions - Male,1518474
Tumkur,All Religions - Rural Male,1216018
Tumkur,All Religions - Urban Male,302456
Tumkur,All Religions - Female,1468901
Tumkur,All Religions - Rural Female,1185139
Tumkur,All Religions - Urban Female,283762
Tumkur,Buddhists - Total,294
Tumkur,Buddhists - Rural,140
Tumkur,Buddhists - Urban,154
Tumkur,Buddhists - Male,148
Tumkur,Buddhists - Rural Male,72
Tumkur,Buddhists - Urban Male,76
Tumkur,Buddhists - Female,146
Tumkur,Buddhists - Rural Female,68
Tumkur,Buddhists - Urban Female,77
Tumkur,Christians - Total,8941
Tumkur,Christians - Rural,1981
Tumkur,Christians - Urban,6960
Tumkur,Christians - Male,4323
Tumkur,Christians - Rural Male,929
Tumkur,Christians - Urban Male,3393
Tumkur,Christians - Female,4619
Tumkur,Christians - Rural Female,1052
Tumkur,Christians - Urban Female,3567
Tumkur,Hindus - Total,2715869
Tumkur,Hindus - Rural,2280642
Tumkur,Hindus - Urban,435227
Tumkur,Hindus - Male,1380513
Tumkur,Hindus - Rural Male,1155098
Tumkur,Hindus - Urban Male,225415
Tumkur,Hindus - Female,1335356
Tumkur,Hindus - Rural Female,1125544
Tumkur,Hindus - Urban Female,209811
Tumkur,Jains - Total,6277
Tumkur,Jains - Rural,2136
Tumkur,Jains - Urban,4141
Tumkur,Jains - Male,3254
Tumkur,Jains - Rural Male,1115
Tumkur,Jains - Urban Male,2138
Tumkur,Jains - Female,3024
Tumkur,Jains - Rural Female,1021
Tumkur,Jains - Urban Female,2003
Tumkur,Muslims - Total,244717
Tumkur,Muslims - Rural,106688
Tumkur,Muslims - Urban,138029
Tumkur,Muslims - Male,124371
Tumkur,Muslims - Rural Male,53922
Tumkur,Muslims - Urban Male,70449
Tumkur,Muslims - Female,120346
Tumkur,Muslims - Rural Female,52766
Tumkur,Muslims - Urban Female,67580
Tumkur,Others - Total,6572
Tumkur,Others - Rural,6064
Tumkur,Others - Urban,507
Tumkur,Others - Male,3308
Tumkur,Others - Rural Male,3027
Tumkur,Others - Urban Male,281
Tumkur,Others - Female,3264
Tumkur,Others - Rural Female,3037
Tumkur,Others - Urban Female,227
Tumkur,Religion not stated - Total,4326
Tumkur,Religion not stated - Rural,3317
Tumkur,Religion not stated - Urban,1009
Tumkur,Religion not stated - Male,2305
Tumkur,Religion not stated - Rural Male,1735
Tumkur,Religion not stated - Urban Male,570
Tumkur,Religion not stated - Female,2021
Tumkur,Religion not stated - Rural Female,1582
Tumkur,Religion not stated - Urban Female,439
Tumkur,Sikhs - Total,379
Tumkur,Sikhs - Rural,188
Tumkur,Sikhs - Urban,191
Tumkur,Sikhs - Male,253
Tumkur,Sikhs - Rural Male,120
Tumkur,Sikhs - Urban Male,133
Tumkur,Sikhs - Female,126
Tumkur,Sikhs - Rural Female,68
Tumkur,Sikhs - Urban Female,58
Shimoga,All Religions - Total,1898432
Shimoga,All Religions - Rural,1238466
Shimoga,All Religions - Urban,659966
Shimoga,All Religions - Male,959949
Shimoga,All Religions - Rural Male,624400
Shimoga,All Religions - Urban Male,335549
Shimoga,All Religions - Female,938483
Shimoga,All Religions - Rural Female,614066
Shimoga,All Religions - Urban Female,324417
Shimoga,Buddhists - Total,198
Shimoga,Buddhists - Rural,127
Shimoga,Buddhists - Urban,71
Shimoga,Buddhists - Male,102
Shimoga,Buddhists - Rural Male,65
Shimoga,Buddhists - Urban Male,37
Shimoga,Buddhists - Female,96
Shimoga,Buddhists - Rural Female,62
Shimoga,Buddhists - Urban Female,34
Shimoga,Christians - Total,30598
Shimoga,Christians - Rural,8488
Shimoga,Christians - Urban,22110
Shimoga,Christians - Male,15179
Shimoga,Christians - Rural Male,4306
Shimoga,Christians - Urban Male,10872
Shimoga,Christians - Female,15419
Shimoga,Christians - Rural Female,4182
Shimoga,Christians - Urban Female,11238
Shimoga,Hindus - Total,1619358
Shimoga,Hindus - Rural,1126296
Shimoga,Hindus - Urban,493062
Shimoga,Hindus - Male,818153
Shimoga,Hindus - Rural Male,567223
Shimoga,Hindus - Urban Male,250929
Shimoga,Hindus - Female,801205
Shimoga,Hindus - Rural Female,559073
Shimoga,Hindus - Urban Female,242133
Shimoga,Jains - Total,10995
Shimoga,Jains - Rural,6133
Shimoga,Jains - Urban,4862
Shimoga,Jains - Male,5699
Shimoga,Jains - Rural Male,3124
Shimoga,Jains - Urban Male,2575
Shimoga,Jains - Female,5296
Shimoga,Jains - Rural Female,3009
Shimoga,Jains - Urban Female,2287
Shimoga,Muslims - Total,232289
Shimoga,Muslims - Rural,93766
Shimoga,Muslims - Urban,138523
Shimoga,Muslims - Male,118255
Shimoga,Muslims - Rural Male,47822
Shimoga,Muslims - Urban Male,70434
Shimoga,Muslims - Female,114033
Shimoga,Muslims - Rural Female,45944
Shimoga,Muslims - Urban Female,68090
Shimoga,Others - Total,2866
Shimoga,Others - Rural,2364
Shimoga,Others - Urban,503
Shimoga,Others - Male,1440
Shimoga,Others - Rural Male,1200
Shimoga,Others - Urban Male,240
Shimoga,Others - Female,1426
Shimoga,Others - Rural Female,1164
Shimoga,Others - Urban Female,262
Shimoga,Religion not stated - Total,1794
Shimoga,Religion not stated - Rural,1221
Shimoga,Religion not stated - Urban,573
Shimoga,Religion not stated - Male,937
